NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TPG
Taj Gibson,Washington Wizards,F,37.8,48,10,15.3,42,0.714,101,0.564,24,0.333,3.5,1.9,0.7,0.3,0.3,0.5
Kai Jones,Charlotte Hornets,C-F,22.2,45,11.8,12.8,26,0.731,101,0.624,18,0.222,3.5,2.7,0.3,0.4,0.7,0.7
Wesley Matthews,Milwaukee Bucks,G,36.5,51,15.6,9.7,24,0.875,35,0.543,120,0.325,3.5,2.2,0.6,0.4,0.3,0.4
P.J. Tucker,Philadelphia 76ers,F,37.9,75,25.6,6.5,23,0.826,85,0.482,140,0.393,3.5,3.9,0.8,0.5,0.2,0.6
Amir Coffey,LA Clippers,G-F,25.8,50,12.5,13.5,63,0.778,105,0.429,40,0.275,3.4,1.1,1.1,0.1,0.1,0.4
Caleb Houston Rocketsstan,Orlando Magic,G,20.2,50,15.6,10.5,13,0.846,42,0.452,125,0.328,3.4,2,0.6,0.2,0.1,0.4
Kenneth Lofton Jr.,Memphis Grizzlies,F,20.7,23,5.9,25.9,15,0.533,53,0.491,15,0.4,3.4,1.6,0.9,0.2,0.1,0.4
Milwaukee Buckses McBride,New York Knicks,G,22.6,63,11.9,14.6,42,0.667,79,0.456,132,0.295,3.4,0.8,1.1,0.6,0.1,0.4
Micah Potter,Utah Jazz,F,25,7,7.5,13.6,0,0,8,0.75,7,0.571,3.4,2.3,0.6,0.1,0,0.3
Matt Ryan,Minnesota Timberwolves,F,26,22,8.2,15.6,7,0.857,10,0.6,49,0.388,3.4,0.5,0.5,0.1,0,0.2
Jericho Sims,New York Knicks,C,24.5,52,15.6,7.5,16,0.75,106,0.783,1,0,3.4,4.7,0.5,0.3,0.5,0.5
Dru Smith,Brooklyn Nets,G,25.3,9,7.5,18.6,1,1,14,0.643,13,0.308,3.4,1.2,1.6,0.6,0.1,0.1
Juan Toscano-Anderson,Utah Jazz,F,30,21,15.1,12.3,9,0.889,52,0.519,20,0.15,3.4,2.9,1.7,0.2,0.1,0.8
DoMinnesota Timberwolvesick Barlow,San Antonio Spurs,F,19.9,27,13.8,10.9,18,0.722,71,0.535,4,0,3.3,3.1,0.9,0.3,0.7,0.6
Goga Bitadze,Indiana Pacers,C-F,23.7,21,9.6,15.5,24,0.458,38,0.605,14,0.286,3.3,2.3,0.9,0.4,0.5,0.6
Omer Yurtseven,Miami Heat,C,24.8,8,7.4,16.7,3,0.667,14,0.643,4,0.5,3.3,2,0.3,0.1,0.1,0.4
Udoka Azubuike,Utah Jazz,C-F,23.6,35,9.5,11.6,19,0.368,66,0.803,0,0,3.2,3.2,0.3,0.2,0.4,0.5
Max Christie,Los Angeles Lakers,G,20.2,40,12.8,10.3,16,0.875,44,0.409,62,0.419,3.2,1.9,0.5,0.2,0.2,0.3
David Duke Jr.,Brooklyn Nets,G,23.5,22,8.3,20.5,11,0.636,57,0.526,8,0.125,3.2,1,0.8,0.3,0,0.7
Anthony Gill,Washington Wizards,F,30.5,58,10.4,12,63,0.746,97,0.66,27,0.148,3.2,1.7,0.6,0.1,0.2,0.3
RiCharlotte Hornetsun Holmes,Sacramento Kings,F,29.5,41,8.3,13.8,19,0.789,80,0.625,7,0.714,3.2,1.9,0.2,0.1,0.3,0.3
Jordan Hall,San Antonio Spurs,G,21.2,9,9.1,19.6,9,0.778,13,0.462,15,0.2,3.1,1.3,1.2,0.1,0,0.8
Christian Koloko,Toronto Raptors,C,22.8,57,13.6,10.5,57,0.632,135,0.504,11,0.091,3.1,2.9,0.5,0.3,1,0.4
Boban Marjanovic,Houston Rockets,C,34.6,30,5.3,20.3,26,0.769,52,0.692,1,0,3.1,1.8,0.3,0.1,0,0.4
Josh Minnesota Timberwolvesott,Minnesota Timberwolves,F,20.4,15,6.4,18.9,8,1,30,0.533,6,0.333,3.1,1.7,0.3,0.3,0.4,0.2
Raul Neto,Cleveland Cavaliers,G,30.9,47,10.3,12.5,29,0.897,62,0.661,39,0.308,3.1,1,1.6,0.3,0.1,0.4
Xavier Cooks,Washington Wizards,G,27.6,9,9.7,13.7,8,0.5,16,0.75,1,0,3.1,2.7,0.7,0.4,0.2,0.8
Tyler Dorsey,Dallas Mavericks,G,27.1,3,2.8,27.3,0,0,3,1,2,0.5,3,0.7,0,0,0,0
Usman Garuba,Houston Rockets,F,21.1,74,12.9,10.4,47,0.617,117,0.53,57,0.421,3,4.1,0.9,0.6,0.4,0.6
Danny Green,Memphis Grizzlies,G,35.8,3,14.5,13.4,0,0,3,0,8,0.375,3,1.3,0.7,0.3,0,1
Jake LaRavia,Memphis Grizzlies,F,21.4,35,11.8,11.7,9,0.778,24,0.542,71,0.338,3,1.8,0.6,0.3,0.1,0.5
Saben Lee,Philadelphia 76ers,G,23.8,2,5.1,31,0,0,3,1,1,0,3,0,1,0.5,0,1.5
Garrison Mathews,Atlanta Hawks,G,26.5,8,7.3,15.3,3,0.667,5,0.4,14,0.429,3,1,0.3,0.1,0,0.1
Trevelin Queen,Indiana Pacers,G,26.1,7,10,22.9,5,1,14,0.357,15,0.133,3,2.4,0.9,0.3,0.7,1
NeeMiami Heats Queta,Sacramento Kings,C,23.7,4,6.1,17.3,2,0,8,0.75,0,0,3,2.3,0.3,0,0.3,0.3
MiCharlotte Hornetsel Carter-Williams,Orlando Magic,G,31.5,3,9.3,16.6,4,0.75,7,0.429,1,0,3,1.7,1.3,0,0.3,0.3
Juancho Hernangomez,Toronto Raptors,F,27.5,42,14.6,9.5,16,0.563,47,0.66,67,0.254,2.9,2.9,0.6,0.4,0.1,0.4
Jason Preston,LA Clippers,G,23.7,14,8.8,18.3,2,0,23,0.565,18,0.278,2.9,1.6,1.9,0.1,0,0.7
Jared RhoDenver Nuggets,Detroit Pistons,G,23.6,13,12.5,10.9,6,1,20,0.5,16,0.25,2.9,2.4,0.3,0.3,0.1,0.2
Robin Lopez,Cleveland Cavaliers,C,35,36,7.8,15.2,16,0.75,62,0.677,3,0.667,2.8,1.3,0.5,0.1,0.2,0.6
JaDenver Nuggets Springer,Philadelphia 76ers,G,20.5,15,5.8,21.3,8,0.75,30,0.5,5,0.4,2.8,0.9,0.5,0.5,0.2,0.2
Peyton Watson,Denver Nuggets,G,20.6,22,7.3,16.5,13,0.462,37,0.514,12,0.5,2.8,1.5,0.5,0,0.5,0.3
Moussa Diabate,LA Clippers,F,21.2,22,8.9,14.1,16,0.625,45,0.511,2,0.5,2.7,2.3,0.2,0.3,0.4,0.4
Frank KaMinnesota Timberwolvessky,Atlanta Hawks,F-C,30,26,6.8,13.9,12,0.833,21,0.667,23,0.478,2.7,1.4,0.8,0.2,0,0.3
Frank Ntilikina,Dallas Mavericks,G,24.7,46,12.3,12.9,29,0.724,58,0.466,63,0.254,2.7,1.3,1.2,0.3,0.1,0.6
Terry Taylor,Indiana Pacers,G,23.5,26,8.8,14.2,7,0.714,47,0.553,18,0.222,2.7,1.5,0.4,0.1,0.2,0.3
Matisse Thybulle,Philadelphia 76ers,G-F,26.1,49,12.1,9.8,12,0.75,53,0.547,63,0.333,2.7,1.3,0.5,0.9,0.3,0.2
Juan Toscano-Anderson,Los Angeles Lakers,F,30,30,12.2,10.4,15,0.733,46,0.63,20,0.2,2.7,2,0.8,0.3,0.2,0.6
Ryan Arcidiacono,Portland Trail Blazers,G,29,9,16.2,11.3,0,0,12,0.083,20,0.35,2.6,1.2,2.3,0.3,0,0.7
James Johnson,Indiana Pacers,F,36.1,17,9.2,15,8,0.5,29,0.552,15,0.2,2.6,1.6,0.7,0.4,0.4,0.5
Isaiah Mobley,Cleveland Cavaliers,F,23.5,11,5.6,17.4,2,1,16,0.563,6,0.5,2.6,1.5,0.1,0.4,0.3,0.1
Ish Smith,Denver Nuggets,G,34.8,42,8.9,20,4,0.5,119,0.42,9,0.222,2.6,1.2,2.2,0.2,0.2,1
DaMiami Heatn Jones,Los Angeles Lakers,C,27.8,22,8,13.1,20,0.75,34,0.588,3,0,2.5,2.5,0.2,0.1,0.5,0.4
Jared Butler,Oklahoma City Thunder,G,22.6,5,6.2,17.6,0,0,6,0.5,5,0.4,2.4,0.2,0.8,0.8,0,0.4
Jeff Dowtin Jr.,Toronto Raptors,G,25.9,25,10.3,10.9,9,0.667,41,0.488,16,0.313,2.4,0.9,1.2,0.4,0.1,0.2
Trent Forrest,Atlanta Hawks,G,24.8,22,11.8,11.7,3,0.667,54,0.463,2,0,2.4,1.6,1.5,0.3,0.1,0.7
San Antonio Spursdro Mamukelashvili,Milwaukee Bucks,F-C,23.9,24,9.1,14.5,18,0.667,26,0.462,32,0.219,2.4,2.3,0.7,0.2,0.2,0.4
Garrett Temple,New Orleans Pelicans,G-F,36.9,21,6.6,14.3,4,0.75,17,0.412,23,0.478,2.4,0.8,0.6,0.3,0.1,0.2
John Butler Jr.,Portland Trail Blazers,F,20.3,18,11.1,11.1,4,0.75,16,0.563,32,0.219,2.3,0.9,0.6,0.4,0.5,0.1
